id;name;max_limit;min_limit;date_created;date_expired;owner
1;Communications capacitor archive;57044;19598;2019-11-13T06:26:44;2019-11-13T17:51:36;96117
2;navigating;74732;27134;2019-11-13T05:59:34;2019-11-12T23:03:21;58675
3;Specialist Home Loan Account;27599;14092;2019-11-13T11:50:05;2019-11-12T23:41:34;16526
4;Industrial;42340;77224;2019-11-13T09:28:06;2019-11-13T14:10:34;29348
5;Jewelery;19884;70685;2019-11-13T01:52:24;2019-11-13T01:26:58;79017
6;Checking Account Identity deposit;91495;86310;2019-11-12T22:32:41;2019-11-13T03:59:11;44945
7;Ergonomic;37081;31098;2019-11-13T02:53:36;2019-11-13T11:08:28;66592
8;New York tangible Mississippi;38292;11959;2019-11-12T19:37:28;2019-11-13T01:49:39;84891
9;hard drive Robust Networked;4043;52273;2019-11-13T01:53:23;2019-11-13T08:41:04;11089
10;partnerships;20171;3142;2019-11-12T21:26:50;2019-11-13T03:40:18;47537
